,timestamp,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro
0,0.0,-0.02120999139412241,-0.001296453965878263,1.0111987890084746,0.1649425386964577,-0.09690545679751515,0.035566396408258164
1,11.0,-0.02140151251897426,0.0037478619578479744,1.0222653328975455,0.1649425386964577,-0.09690545679751515,0.035566396408258164
2,21.0,-0.02393396030765021,0.0012080169697000662,1.0222917963453582,0.10587171424259678,-0.10735628225417203,0.12248873665006028
3,31.0,-0.02220022837571798,0.000521943945191764,1.0231162225053003,0.10185098604344478,0.03576970993911725,0.00864230514725485
4,40.0,-0.022771382928758143,-0.0007432130727769277,1.0242671012839373,0.10264387367703565,-0.049904822518416145,-0.0011196623310530673
5,50.0,-0.021649123080503006,-0.0012866941445867045,1.0193172318847747,0.04302569412371471,-0.0983215163681767,0.03809189993150605
6,61.0,-0.020857935271851754,-0.0010956825605899691,1.02222324010564,0.040345208657613485,-0.00290418823931711,-0.037805721070364194
7,71.0,-0.019954952110844644,0.002326197207812863,1.0264274318373012,0.10185098604344478,0.03576970993911725,0.00864230514725485
8,81.0,-0.021560477742731583,0.0023078411701922133,1.019717838809205,-0.02006585852929821,0.034353650368455765,0.011167808670502752
9,91.0,-0.022086805956784406,0.0010561183817986161,1.0230028931704598,0.04223280649012401,-0.012646983910643297,0.04785386740981397
10,102.0,-0.023522165468966412,0.0013015150437641935,1.024512335875348,0.04357304922317462,-0.06035564797507305,0.08580267791074907
11,110.0,-0.022340802509099304,-0.000768440929245367,1.021523889267195,0.04206297095716627,-0.05256141143801214,0.01727500712660658
12,112.0,-0.022468573932112833,-0.000915646823102371,1.0216963806442438,0.0416854513906641,-0.05061285230374686,0.00014308943057092516
13,121.0,-0.023043545335673172,-0.001578073345458695,1.0224725918409634,0.0416854513906641,-0.05061285230374686,0.00014308943057092516
14,131.0,-0.019490230138003592,0.00016992764346738422,1.0241276054692998,0.10264387367703565,-0.049904822518416145,-0.0011196623310530673
15,141.0,-0.02200321663837679,0.0009293615795293372,1.021109283301957,-0.02006585852929821,0.034353650368455765,0.011167808670502752
16,151.0,-0.02354346318119682,0.0001078233779187815,1.0228429017538714,-0.019272970895707342,-0.05132088208907763,0.0014058411921948413
17,162.0,-0.021008897095882547,-0.00029594821183944863,1.0212919179904598,-0.019820325995167254,-0.08928675048218128,-0.04630493678704819
