time,x-acceleration,y-acceleration,z-acceleration
35.080,0.011,-1.000,-0.011
35.100,0.010,-1.000,-0.012
35.120,0.013,-1.000,-0.013
35.140,0.014,-1.001,-0.013
35.160,0.013,-1.002,-0.014
35.180,0.012,-1.001,-0.013
35.200,0.015,-1.003,0.009
35.220,0.023,-0.999,0.043
35.240,0.010,-1.001,-0.009
35.260,-0.021,-1.000,-0.086
35.280,0.021,-1.003,-0.029
35.300,0.014,-1.002,-0.003
35.320,0.013,-1.003,-0.021
35.340,0.033,-0.999,-0.025
35.360,0.026,-1.001,-0.020
35.380,0.026,-1.004,-0.026
35.400,0.027,-1.001,-0.031
35.420,0.037,-1.014,-0.072
35.440,0.039,-1.001,-0.056
35.460,0.070,-1.008,-0.075
35.480,0.124,-1.015,-0.067
35.500,0.176,-0.995,-0.101
35.520,0.179,-0.971,-0.163
35.540,0.206,-0.961,-0.194
35.560,0.258,-0.936,-0.191
35.580,0.176,-0.939,-0.211
35.600,0.290,-0.915,-0.159
35.620,0.377,-0.902,-0.238
35.640,0.384,-0.880,-0.274
35.660,0.396,-0.864,-0.287
35.680,0.432,-0.845,-0.305
35.700,0.427,-0.836,-0.326
35.720,0.446,-0.815,-0.347
35.740,0.473,-0.802,-0.365
35.760,0.501,-0.774,-0.367
35.780,0.510,-0.757,-0.404
35.800,0.531,-0.737,-0.424
35.820,0.535,-0.716,-0.431
35.840,0.569,-0.732,-0.386
35.860,0.571,-0.692,-0.436
35.880,0.541,-0.703,-0.461
35.900,0.552,-0.690,-0.455
35.920,0.572,-0.646,-0.493
35.940,0.582,-0.629,-0.502
35.960,0.589,-0.608,-0.483
35.980,0.600,-0.568,-0.511
36.000,0.640,-0.504,-0.567
36.020,0.689,-0.462,-0.570
36.040,0.714,-0.393,-0.542
36.060,0.714,-0.376,-0.590
36.080,0.771,-0.402,-0.605
36.100,0.764,-0.320,-0.603
36.120,0.709,-0.325,-0.615
36.140,0.724,-0.313,-0.609
36.160,0.714,-0.288,-0.622
36.180,0.710,-0.297,-0.610
36.200,0.728,-0.297,-0.556
36.220,0.709,-0.254,-0.573
36.240,0.720,-0.199,-0.579
36.260,0.700,-0.153,-0.562
36.280,0.760,-0.065,-0.634
36.300,0.633,0.115,-0.799
36.320,0.744,0.025,-0.602
36.340,0.792,-0.038,-0.615
36.360,0.767,0.019,-0.638
36.380,0.760,0.019,-0.643
36.400,0.764,0.008,-0.634
36.420,0.746,0.015,-0.659
36.440,0.757,0.013,-0.643
36.460,0.760,0.014,-0.641
36.480,0.759,0.015,-0.644
36.500,0.759,0.011,-0.642
36.520,0.752,0.006,-0.649
36.540,0.764,0.025,-0.638
36.560,0.760,0.018,-0.643
36.580,0.758,0.018,-0.644
36.600,0.760,0.018,-0.644
36.620,0.760,0.016,-0.642
36.640,0.761,0.016,-0.641
36.660,0.761,0.014,-0.642
36.680,0.759,0.015,-0.645
36.700,0.757,0.014,-0.644
36.720,0.759,0.015,-0.643
36.740,0.761,0.017,-0.641
36.760,0.761,0.017,-0.641
36.780,0.761,0.017,-0.642
36.800,0.759,0.019,-0.641
36.820,0.760,0.018,-0.644
36.840,0.760,0.015,-0.643
36.860,0.760,0.014,-0.645
36.880,0.759,0.014,-0.642
36.900,0.760,0.016,-0.643
36.920,0.760,0.019,-0.643
36.940,0.761,0.018,-0.643
36.960,0.759,0.017,-0.642
36.980,0.759,0.016,-0.641
37.000,0.760,-0.003,-0.642
37.020,0.767,0.031,-0.633
37.040,0.768,0.036,-0.630
37.060,0.746,-0.003,-0.659
37.080,0.756,0.014,-0.648
37.100,0.758,0.017,-0.643
37.120,0.703,-0.026,-0.713
37.140,0.741,-0.037,-0.670
37.160,0.789,0.049,-0.604
37.180,0.800,0.049,-0.594
37.200,0.771,0.044,-0.625
37.220,0.757,0.014,-0.648
37.240,0.760,0.011,-0.644
37.260,0.760,0.014,-0.642
37.280,0.760,0.014,-0.644
37.300,0.757,0.011,-0.647
37.320,0.765,0.025,-0.640
37.340,0.760,0.017,-0.643
37.360,0.758,0.015,-0.643
37.380,0.760,0.017,-0.643
37.400,0.760,0.016,-0.642
37.420,0.759,0.016,-0.642
37.440,0.760,0.016,-0.641
37.460,0.760,0.016,-0.642
37.480,0.760,0.017,-0.643
37.500,0.760,0.016,-0.642
37.520,0.759,0.014,-0.643
37.540,0.761,0.014,-0.642
37.560,0.762,0.016,-0.642
37.580,0.761,0.018,-0.641
37.600,0.760,0.018,-0.641
37.620,0.760,0.016,-0.642
37.640,0.760,0.015,-0.644
37.660,0.759,0.013,-0.645
37.680,0.760,0.014,-0.642
37.700,0.760,0.015,-0.641
37.720,0.760,0.018,-0.639
37.740,0.761,0.019,-0.641
37.760,0.760,0.017,-0.642
37.780,0.759,0.016,-0.643
37.800,0.760,0.015,-0.643
37.820,0.760,0.014,-0.641
37.840,0.761,0.015,-0.644
37.860,0.759,0.017,-0.645
37.880,0.760,0.017,-0.645
37.900,0.760,0.017,-0.642
37.920,0.761,0.016,-0.642
37.940,0.761,0.015,-0.643
37.960,0.761,0.014,-0.642
37.980,0.762,0.014,-0.640
38.000,0.760,0.017,-0.641
38.020,0.760,0.019,-0.643
38.040,0.759,0.017,-0.643
38.060,0.760,0.016,-0.642
38.080,0.760,0.014,-0.642
38.100,0.760,0.014,-0.642
38.120,0.758,0.016,-0.643
38.140,0.759,0.017,-0.644
38.160,0.760,0.016,-0.643
38.180,0.760,0.017,-0.642
38.200,0.761,0.017,-0.641
38.220,0.760,0.016,-0.642
38.240,0.760,0.015,-0.643
38.260,0.760,0.017,-0.643
38.280,0.760,0.017,-0.643
38.300,0.760,0.017,-0.641
38.320,0.761,0.015,-0.642
38.340,0.761,0.015,-0.643
38.360,0.759,0.015,-0.643
38.380,0.760,0.014,-0.643
38.400,0.761,0.015,-0.642
38.420,0.760,0.018,-0.641
38.440,0.761,0.018,-0.641
38.460,0.759,0.017,-0.642
38.480,0.759,0.015,-0.643
38.500,0.759,0.015,-0.643
38.520,0.761,0.016,-0.641
38.540,0.762,0.019,-0.640
38.560,0.761,0.017,-0.643
38.580,0.761,0.013,-0.644
38.600,0.759,0.011,-0.645
38.620,0.759,0.013,-0.645
38.640,0.760,0.016,-0.642
38.660,0.760,0.018,-0.642
38.680,0.760,0.020,-0.643
38.700,0.759,0.016,-0.643
38.720,0.761,0.013,-0.643
38.740,0.760,0.014,-0.643
38.760,0.759,0.015,-0.642
38.780,0.760,0.018,-0.641
38.800,0.762,0.018,-0.642
38.820,0.762,0.015,-0.641
38.840,0.759,0.013,-0.645
38.860,0.758,0.014,-0.646
38.880,0.759,0.015,-0.642
38.900,0.761,0.017,-0.641
38.920,0.761,0.018,-0.641
38.940,0.760,0.016,-0.641
38.960,0.761,0.014,-0.642
38.980,0.759,0.013,-0.645
39.000,0.758,0.016,-0.644
39.020,0.760,0.018,-0.642
39.040,0.762,0.017,-0.641
39.060,0.760,0.016,-0.642
39.080,0.760,0.014,-0.642
39.100,0.761,0.015,-0.641
39.120,0.760,0.016,-0.641
39.140,0.762,0.016,-0.642
39.160,0.761,0.016,-0.644
39.180,0.759,0.018,-0.645
39.200,0.760,0.017,-0.643
39.220,0.761,0.016,-0.641
39.240,0.761,0.016,-0.641
39.260,0.761,0.015,-0.641
39.280,0.760,0.015,-0.642
39.300,0.760,0.016,-0.643
39.320,0.760,0.017,-0.643
39.340,0.759,0.017,-0.643
39.360,0.760,0.017,-0.642
39.380,0.759,0.016,-0.642
39.400,0.761,0.014,-0.641
39.420,0.762,0.012,-0.641
39.440,0.760,0.013,-0.643
39.460,0.758,0.016,-0.645
39.480,0.757,0.020,-0.645
39.500,0.759,0.019,-0.644
39.520,0.762,0.016,-0.640
39.540,0.762,0.013,-0.639
39.560,0.761,0.012,-0.642
39.580,0.760,0.014,-0.644
39.600,0.758,0.016,-0.644
39.620,0.759,0.016,-0.645
39.640,0.760,0.016,-0.640
39.660,0.760,0.016,-0.638
39.680,0.761,0.016,-0.640
39.700,0.760,0.015,-0.643
39.720,0.759,0.014,-0.645
39.740,0.758,0.015,-0.644
39.760,0.760,0.016,-0.644
39.780,0.762,0.015,-0.642
39.800,0.762,0.015,-0.642
39.820,0.761,0.016,-0.641
39.840,0.761,0.017,-0.642
39.860,0.758,0.016,-0.644
39.880,0.760,0.016,-0.643
39.900,0.760,0.018,-0.641
39.920,0.761,0.017,-0.641
39.940,0.762,0.015,-0.640
39.960,0.761,0.015,-0.642
39.980,0.759,0.017,-0.642
40.000,0.760,0.017,-0.644
40.020,0.759,0.016,-0.642
40.040,0.760,0.015,-0.642
40.060,0.760,0.015,-0.643
40.080,0.759,0.015,-0.643
40.100,0.760,0.017,-0.643
40.120,0.758,0.017,-0.642
40.140,0.760,0.016,-0.642
40.160,0.761,0.015,-0.641
40.180,0.760,0.015,-0.645
40.200,0.760,0.016,-0.642
40.220,0.760,0.017,-0.640
40.240,0.760,0.018,-0.642
40.260,0.759,0.016,-0.643
40.280,0.760,0.016,-0.645
40.300,0.760,0.015,-0.643
40.320,0.760,0.014,-0.641
40.340,0.763,0.016,-0.641
40.360,0.761,0.016,-0.642
40.380,0.760,0.016,-0.643
40.400,0.760,0.017,-0.642
40.420,0.761,0.016,-0.643
40.440,0.759,0.016,-0.643
40.460,0.761,0.016,-0.641
40.480,0.761,0.016,-0.641
40.500,0.761,0.017,-0.641
40.520,0.759,0.017,-0.642
40.540,0.760,0.016,-0.644
40.560,0.760,0.015,-0.642
40.580,0.761,0.015,-0.641
40.600,0.761,0.016,-0.642
40.620,0.761,0.018,-0.642
40.640,0.760,0.017,-0.643
40.660,0.759,0.017,-0.643
40.680,0.760,0.014,-0.643
40.700,0.759,0.015,-0.641
40.720,0.760,0.016,-0.641
40.740,0.761,0.017,-0.643
40.760,0.760,0.015,-0.642
40.780,0.760,0.016,-0.642
40.800,0.760,0.016,-0.643
40.820,0.760,0.016,-0.643
40.840,0.760,0.015,-0.642
40.860,0.760,0.016,-0.641
40.880,0.760,0.016,-0.642
40.900,0.760,0.015,-0.643
40.920,0.760,0.016,-0.641
40.940,0.762,0.015,-0.644
40.960,0.761,0.016,-0.643
40.980,0.760,0.016,-0.642
41.000,0.760,0.016,-0.643
41.020,0.760,0.017,-0.641
41.040,0.760,0.016,-0.641
41.060,0.761,0.017,-0.640
41.080,0.760,0.017,-0.641
41.100,0.760,0.015,-0.642
41.120,0.760,0.015,-0.642
41.140,0.760,0.016,-0.641
41.160,0.760,0.016,-0.642
41.180,0.760,0.015,-0.642
41.200,0.761,0.016,-0.643
41.220,0.760,0.018,-0.643
41.240,0.759,0.018,-0.641
41.260,0.759,0.018,-0.642
41.280,0.760,0.016,-0.641
41.300,0.762,0.014,-0.641
41.320,0.762,0.014,-0.641
41.340,0.760,0.017,-0.643
41.360,0.759,0.017,-0.644
41.380,0.759,0.015,-0.643
41.400,0.760,0.014,-0.642
41.420,0.760,0.014,-0.642
41.440,0.760,0.015,-0.642
41.460,0.761,0.016,-0.642
41.480,0.761,0.017,-0.643
41.500,0.761,0.018,-0.643
41.520,0.760,0.016,-0.642
41.540,0.760,0.014,-0.642
41.560,0.760,0.016,-0.642
41.580,0.760,0.014,-0.643
41.600,0.760,0.017,-0.644
41.620,0.760,0.017,-0.643
41.640,0.761,0.017,-0.641
41.660,0.759,0.017,-0.642
41.680,0.761,0.014,-0.643
41.700,0.760,0.016,-0.640
41.720,0.761,0.016,-0.643
41.740,0.761,0.016,-0.644
41.760,0.761,0.016,-0.642
41.780,0.761,0.015,-0.642
41.800,0.760,0.014,-0.642
41.820,0.760,0.015,-0.642
41.840,0.759,0.016,-0.642
41.860,0.758,0.017,-0.643
41.880,0.760,0.016,-0.642
41.900,0.760,0.017,-0.642
41.920,0.760,0.015,-0.642
41.940,0.760,0.015,-0.639
41.960,0.760,0.015,-0.643
41.980,0.760,0.015,-0.644
42.000,0.759,0.016,-0.644
42.020,0.761,0.015,-0.642
42.040,0.760,0.017,-0.642
42.060,0.760,0.016,-0.642
42.080,0.760,0.016,-0.642
42.100,0.760,0.015,-0.643
42.120,0.760,0.014,-0.643
42.140,0.761,0.015,-0.643
42.160,0.761,0.016,-0.643
42.180,0.760,0.016,-0.642
42.200,0.759,0.016,-0.641
42.220,0.761,0.016,-0.642
42.240,0.760,0.016,-0.642
42.260,0.760,0.015,-0.643
42.280,0.760,0.015,-0.643
42.300,0.761,0.017,-0.642
42.320,0.761,0.017,-0.641
42.340,0.759,0.017,-0.641
42.360,0.761,0.017,-0.643
42.380,0.760,0.017,-0.641
42.400,0.762,0.015,-0.642
42.420,0.760,0.015,-0.644
42.440,0.760,0.016,-0.641
42.460,0.760,0.016,-0.642
42.480,0.760,0.017,-0.641
42.500,0.761,0.018,-0.640
42.520,0.759,0.017,-0.642
42.540,0.761,0.016,-0.642
42.560,0.760,0.015,-0.642
42.580,0.759,0.014,-0.641
42.600,0.761,0.015,-0.642
42.620,0.761,0.016,-0.641
42.640,0.761,0.017,-0.642
42.660,0.761,0.016,-0.641
42.680,0.760,0.017,-0.642
42.700,0.760,0.017,-0.643
42.720,0.761,0.016,-0.643
42.740,0.761,0.015,-0.644
42.760,0.761,0.016,-0.642
42.780,0.760,0.016,-0.644
42.800,0.760,0.016,-0.642
42.820,0.760,0.018,-0.643
42.840,0.761,0.017,-0.641
42.860,0.761,0.016,-0.640
42.880,0.761,0.016,-0.642
42.900,0.760,0.015,-0.643
42.920,0.760,0.015,-0.643
42.940,0.760,0.014,-0.643
42.960,0.761,0.016,-0.643
42.980,0.760,0.017,-0.643
43.000,0.761,0.019,-0.644
43.020,0.762,0.016,-0.642
43.040,0.761,0.014,-0.641
43.060,0.761,0.016,-0.645
43.080,0.760,0.017,-0.643
43.100,0.760,0.017,-0.640
43.120,0.760,0.017,-0.642
43.140,0.760,0.017,-0.643
43.160,0.760,0.018,-0.641
43.180,0.760,0.016,-0.642
43.200,0.760,0.016,-0.642
43.220,0.761,0.016,-0.641
43.240,0.760,0.014,-0.641
43.260,0.760,0.015,-0.642
43.280,0.761,0.017,-0.642
43.300,0.759,0.017,-0.643
43.320,0.759,0.019,-0.645
43.340,0.761,0.019,-0.644
43.360,0.761,0.016,-0.641
43.380,0.762,0.017,-0.643
43.400,0.762,0.016,-0.641
43.420,0.760,0.017,-0.641
43.440,0.759,0.015,-0.642
43.460,0.760,0.015,-0.643
43.480,0.758,0.016,-0.645
43.500,0.760,0.017,-0.644
43.520,0.761,0.018,-0.640
43.540,0.760,0.017,-0.640
43.560,0.759,0.017,-0.643
43.580,0.759,0.017,-0.642
43.600,0.760,0.016,-0.644
43.620,0.759,0.014,-0.644
43.640,0.760,0.014,-0.643
43.660,0.760,0.016,-0.640
43.680,0.760,0.017,-0.641
43.700,0.760,0.017,-0.643
43.720,0.759,0.017,-0.643
43.740,0.760,0.016,-0.645
43.760,0.761,0.016,-0.642
43.780,0.761,0.015,-0.640
43.800,0.762,0.017,-0.641
43.820,0.760,0.017,-0.644
43.840,0.759,0.016,-0.645
43.860,0.760,0.017,-0.644
43.880,0.760,0.016,-0.643
43.900,0.760,0.015,-0.642
43.920,0.761,0.017,-0.642
43.940,0.761,0.016,-0.642
43.960,0.760,0.018,-0.640
43.980,0.760,0.018,-0.643
44.000,0.760,0.016,-0.644
44.020,0.759,0.016,-0.643
44.040,0.759,0.015,-0.644
44.060,0.759,0.015,-0.643
44.080,0.760,0.016,-0.641
44.100,0.761,0.017,-0.640
