time,x-rotation,y-rotation,z-rotation
7.320,-8.899,-42.336,30.751
7.360,39.627,-86.357,16.974
7.400,67.633,-86.822,28.331
7.440,47.854,-39.962,88.030
7.480,59.139,-16.178,57.511
7.520,33.399,8.659,34.158
7.560,4.794,22.088,23.251
7.600,3.876,31.341,-12.828
7.640,-5.675,39.078,-34.855
7.680,-30.072,35.655,-45.541
7.720,-24.097,31.536,-66.966
7.760,-26.947,32.904,-59.413
7.800,-56.898,37.370,-23.700
7.840,-28.933,29.276,-33.213
7.880,-33.960,11.966,-21.898
7.920,-17.393,-0.465,-25.705
7.960,-16.734,-10.934,-6.399
8.000,-19.318,-27.401,15.412
8.040,18.384,-31.860,17.904
8.080,31.269,-50.072,44.295
8.120,52.119,-57.153,41.555
8.160,61.540,-46.947,42.904
8.200,45.819,-32.816,61.395
8.240,34.950,-19.291,65.835
8.280,31.208,-1.014,46.566
8.320,9.154,0.495,19.630
8.360,5.080,14.981,-11.955
8.400,10.027,17.168,-57.119
8.440,-39.836,27.104,-50.846
8.480,-34.261,42.572,-54.531
8.520,-15.072,38.681,-70.728
8.560,-55.290,42.881,-30.156
8.600,-5.739,24.836,-54.703
8.640,-2.603,16.521,-30.072
8.680,-4.306,-7.344,-20.564
8.720,1.970,-11.174,-24.143
8.760,-21.955,-7.058,17.344
8.800,9.070,-29.516,8.441
8.840,8.902,-33.373,37.287
8.880,33.087,-50.465,42.550
8.920,37.104,-48.998,60.248
8.960,30.423,-49.200,61.658
9.000,37.294,-36.909,48.384
9.040,46.162,-21.410,33.304
9.080,24.947,-4.718,36.014
9.120,5.781,14.546,28.598
9.160,-1.349,19.455,-6.101
9.200,-40.358,31.905,-1.101
9.240,-30.202,46.410,-23.944
9.280,-12.008,47.847,-59.390
9.320,-44.497,44.768,-36.124
9.360,-29.688,38.388,-44.162
9.400,-41.361,29.508,-32.412
9.440,13.144,18.445,-79.417
9.480,4.543,18.929,-41.479
9.520,-30.332,10.335,25.587
9.560,8.674,-9.787,-2.847
9.600,-7.660,-28.236,29.497
9.640,16.639,-57.813,19.314
9.680,13.289,-68.178,55.827
9.720,25.396,-74.867,60.976
9.760,29.558,-72.306,57.309
9.800,23.872,-60.111,69.184
9.840,25.686,-41.864,77.832
9.880,22.066,-26.833,68.274
9.920,27.024,-8.476,46.555
9.960,30.716,15.091,19.672
10.000,29.520,26.018,-16.040
10.040,0.454,55.004,-15.518
10.080,-18.937,55.556,-38.216
10.120,-1.429,58.491,-83.247
10.160,-22.710,43.026,-84.230
10.200,-43.712,42.027,-66.117
10.240,-3.479,23.361,-105.286
10.280,-72.732,30.587,-39.954
10.320,-26.444,20.431,-82.679
10.360,-35.598,20.648,-47.210
10.400,-20.412,1.677,-25.503
10.440,-8.826,-23.243,13.277
10.480,-5.762,-55.408,62.355
10.520,35.396,-87.900,51.014
10.560,34.848,-88.224,85.686
10.600,66.242,-82.835,73.887
10.640,69.520,-59.745,73.453
10.680,48.666,-32.111,89.714
10.720,68.510,-23.178,40.884
10.760,42.130,5.343,39.726
10.800,27.588,38.205,23.670
10.840,17.237,48.552,-23.346
10.880,-44.665,63.659,-17.020
10.920,-40.446,58.075,-61.471
10.960,-16.258,53.902,-110.911
11.000,-73.392,51.067,-63.529
11.040,-61.917,52.248,-60.282
11.080,-48.392,33.647,-63.152
11.120,-44.497,23.609,-38.293
11.160,-2.771,4.688,-45.659
11.200,-3.533,-19.585,-16.368
11.240,-4.977,-44.287,21.037
11.280,14.844,-78.891,34.909
11.320,32.378,-93.148,52.961
11.360,44.798,-98.544,58.323
11.400,52.805,-87.039,58.891
11.440,62.622,-59.322,62.416
11.480,56.425,-35.842,47.713
11.520,33.537,-9.562,37.378
11.560,29.752,19.596,13.285
11.600,6.665,41.220,-11.315
11.640,-39.325,78.548,6.117
11.680,-3.525,80.575,-55.267
11.720,-27.641,73.628,-63.845
11.760,-48.571,59.169,-58.399
11.800,-47.435,52.069,-58.796
11.840,-43.216,37.214,-40.564
11.880,-3.178,26.532,-59.371
11.920,-43.296,17.813,-0.457
11.960,-18.129,-3.716,-15.903
12.000,-18.819,-6.825,-2.290
12.040,-17.039,-39.154,6.986
12.080,-2.355,-67.790,1.734
12.120,-0.114,-83.319,29.981
12.160,18.380,-99.348,34.329
12.200,32.359,-83.106,35.732
12.240,44.585,-53.994,48.552
12.280,39.466,-22.210,63.430
12.320,36.098,17.988,42.462
12.360,58.697,22.489,2.195
12.400,41.326,23.693,-8.083
12.440,1.913,39.310,-21.124
12.480,-12.496,46.989,-45.404
12.520,-27.622,42.233,-63.479
12.560,-49.886,36.601,-46.265
12.600,-54.642,33.361,-46.376
12.640,-28.594,64.325,-79.867
12.680,-23.396,94.813,-51.928
12.720,-5.697,73.933,-36.395
12.760,18.034,21.482,-42.165
12.800,7.134,14.775,-24.028
12.840,9.569,7.016,-26.273
12.880,-6.014,6.818,7.119
12.920,-9.562,11.010,28.060
12.960,-1.780,10.141,19.691
13.000,-9.375,20.046,20.861
13.040,-22.229,37.386,38.232
13.080,-16.277,16.540,29.238
13.120,-17.043,26.387,43.392
13.160,-21.456,31.151,43.941
13.200,6.452,-12.271,-10.827
13.240,-2.355,1.040,-3.815
13.280,-8.537,3.700,10.945
13.320,-7.268,7.965,12.313
13.360,-2.782,1.345,4.901
