timestamp,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,squared norm,zero velocity,px,py,pz,vx,vy,vz,q0,q1,q2,q3,psi,theta,phi
0.0,-1.1618062338151207,-0.5186064740346334,0.5613322994607111,-63.72774522461317,-362.9977392673245,-265.88520317511586,206523.52549207438,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.8689556691969162,0.44929777109599256,-0.1843005802851397,-0.09529351481225731,-0.34770203374871866,0.23687674986368046,0.9961872443780817
9.0,-1.0296016756996378,-0.5419518766790064,0.5460682130511064,-72.3799568819531,-353.97813895664274,-272.14367053808405,204601.5584313829,False,2.8522185821263496e-05,-0.0007205759160492392,0.0003056181334658277,0.006338263515836322,-0.16012798134427536,0.06791514077018394,-0.8730987845998048,0.45411889929428084,-0.15008502904469265,-0.09459926897576011,-0.31129516747150826,0.1770835458516427,0.9870908909442518
19.0,-0.9031865972946618,-0.6089426861857009,0.523411586825123,-102.14640049626419,-327.84790613196355,-307.5306114643922,212493.21367711894,False,-0.00019448224689346222,-0.002290041753421185,0.0010116290752688634,-0.050083798180865745,-0.15427299747081705,0.0738701101993462,-0.8751484765494859,0.46276210802311873,-0.11236472666800076,-0.08567697223839339,-0.2585966187445119,0.11764672493254168,0.9881274762283009
29.0,-0.797332872732213,-0.6425775771730416,0.45973539085681536,-122.01411229317378,-325.76611631203014,-360.1338659930681,250707.40757082752,False,-0.0009642440213893612,-0.0038394254371008343,0.0017402407851809683,-0.10387483992440323,-0.15558735375642543,0.07184655820693812,-0.8752395265799178,0.4726860299721308,-0.07236035405082374,-0.07271634852622126,-0.19730261848440486,0.057953715277796414,0.9961042313159618
39.0,-0.7503559666256824,-0.6635148828206308,0.3948958510442323,-133.0539022773296,-329.8876653560297,-409.9997092809922,294628.97427577514,False,-0.002288389408837808,-0.005431239534012264,0.002411101221993003,-0.16095416631484177,-0.1627755626175007,0.062325584034837914,-0.8734183146667418,0.48281130447068976,-0.029815566087110085,-0.05607783785885986,-0.12709153646142965,-0.002067106603886707,1.009824078339143
50.0,-0.7170061264199883,-0.653811512092032,0.3436364999653271,-136.74036450253107,-323.8641303090411,-482.2896354200011,356189.1946186742,False,-0.0044322330161534335,-0.007283203148324423,0.002982863526354119,-0.228835573699277,-0.17394509664413949,0.041631203014350346,-0.8691477038664505,0.49315788436769775,0.019793910458238702,-0.03139699123203691,-0.035136578940137525,-0.06542166860724939,1.0310640199681864
60.0,-0.6468301640690715,-0.6100139921358805,0.30044448201291374,-127.06329814063385,-315.32019033642365,-578.2975991740611,450000.0173786571,False,-0.007036128596055114,-0.009073098480627153,0.003240029533547444,-0.29194354563868774,-0.18403396818531823,0.009801995907603745,-0.8632432755356537,0.5001462307665674,0.0682878043053343,-0.0012533457731407976,0.06666785149123504,-0.11943543986553734,1.0542275275974158
70.0,-0.5518694357523255,-0.5188055140353239,0.26183470825152444,-105.66543917761048,-310.14306693427875,-697.5537458635478,593935.1353722648,False,-0.01025586541894257,-0.010948799670554817,0.0030987348991880657,-0.35200381138743464,-0.19110627002258151,-0.03806091543914598,-0.8549781386426396,0.5028632522996276,0.1212592270203059,0.037909521129213704,0.19066343302322306,-0.17003958798138247,1.079633436412232
80.0,-0.4533842346436894,-0.4079015251577102,0.23959312037840966,-84.6701239017687,-308.27739404297466,-827.0498228519594,786215.3910389259,False,-0.01404836551004449,-0.012868747775511863,0.0023978665732434508,-0.40649620976047723,-0.19288335098150203,-0.1021127533862792,-0.8428659096695367,0.5000291425630109,0.1791474878771676,0.08633708642260775,0.3389778904197859,-0.2173600058961708,1.1082208927007933
89.0,-0.35016591330044505,-0.2616562051394184,0.21456585963052593,-85.91968784710852,-328.25181112979016,-965.9864753829385,1048261.3148924843,False,-0.01788708821445203,-0.014585303677720016,0.001149080714092286,-0.4465532822514245,-0.1885735157445444,-0.17539521886191103,-0.8258274506723624,0.49278297477685085,0.23699252365099135,0.1378713357431443,0.49738628656364015,-0.25841507017627785,1.1419682543963046
100.0,-0.22643602157364898,-0.0815165832491292,0.15514849242596734,-129.58735410023152,-379.221345707081,-1108.6214893700283,1389643.3180756078,False,-0.022959208368254245,-0.016602480329712566,-0.0013714056224228778,-0.475650381354934,-0.17818587613502462,-0.2828750218306097,-0.791670541859741,0.479673091242916,0.31525579722001523,0.2092492795881077,0.7261651343379592,-0.30303151171301423,1.2053816533500472
110.0,-0.10081502580703147,0.13583048573916603,0.00969871826821038,-203.10043973791,-452.4866169858277,-1255.5275233840193,1822343.2891478208,False,-0.027710199619703,-0.01834853905154696,-0.004765454041301678,-0.47454786911486724,-0.1710258685534844,-0.3959346597978228,-0.7425505372931145,0.46383585860139426,0.3929774181105594,0.2811471940040891,0.9725437066097959,-0.32868519311335903,1.291578522829856
120.0,-0.02272945987492239,0.3288536835868581,-0.11489364773801132,-262.75152892433107,-502.6366661922772,-1354.1364010681634,2155367.3768507983,False,-0.03231727837958702,-0.020043083495465686,-0.009314886788541386,-0.4468678824192447,-0.1678830199201663,-0.5139518894063153,-0.6752936197302628,0.4427042681760471,0.47085569912457825,0.35536793424873675,1.2439712521187545,-0.32708706360565243,1.3960768847398348
130.0,-0.016250050433644945,0.34478316411404225,-0.1202698475137605,-280.5287809476635,-506.22335206626656,-1359.3474409498774,2182783.94433417,False,-0.036617753813413194,-0.021716312529238016,-0.015006712170714078,-0.41322720232392773,-0.16676278766357613,-0.6244131836434316,-0.5957329799873072,0.41512732945663877,0.540804246166276,0.4246201646438473,1.5138305895848274,-0.29611549848438723,1.4971261399130398
141.0,-0.02465410419266034,0.32786765238046706,-0.11257184571031095,-287.94969496634843,-504.9231551009284,-1348.7856665738873,2157085.1937434548,False,-0.040958733556700266,-0.023556248252423667,-0.022494931321196523,-0.3760418416038393,-0.167770981081322,-0.7370812060856072,-0.4968968448194776,0.3776751868732782,0.6065699479291812,0.49247119418080976,1.7998342758027528,-0.23291736128385304,1.59251577201066
151.0,-0.024696850414465867,0.3306693835848862,-0.11571336453312278,-299.3455415603965,-507.4256548360281,-1346.416192782733,2159925.112625409,False,-0.04454968293861752,-0.025251540550435075,-0.030330828381165173,-0.342148034904296,-0.17128747866087451,-0.8300982014982403,-0.3979685800903514,0.33778563811813644,0.6553095067168431,0.5459774009503696,2.0492942599136357,-0.15333873522072686,1.6590036669789776
160.0,-0.02420760413007896,0.33249519400125876,-0.11503126646511545,-310.53047647749133,-509.62757192229714,-1343.1981543594302,2160330.7207593336,False,-0.04750176896735547,-0.026814997008898077,-0.038144590469231354,-0.31387108306332173,-0.1761472905237921,-0.9062933724327783,-0.3030496989941132,0.2977306871744085,0.6893495072935678,0.5867832433261426,2.2659912197400147,-0.06846103080679122,1.6991408299532003
170.0,-0.027621649885377148,0.3314380952434735,-0.11508459117657228,-321.5162795228999,-511.5390096300802,-1339.435849482327,2159133.2712500137,False,-0.05050341027656015,-0.028611268133064333,-0.04759902818375962,-0.2864571793167317,-0.1831069345836478,-0.9845941697094481,-0.192707229937197,0.24918999223792657,0.7156967292630803,0.6233349525099035,2.5014705424559858,0.034824834265893785,1.7200752325042226
180.0,0.07531817995824756,0.4933998585360854,-0.11536944315596416,-332.8149614617861,-513.3518094146326,-1335.8235384774957,2158720.404752625,False,-0.05325509911697128,-0.030470070433316822,-0.05771270197435533,-0.2638805891193247,-0.1886535253930708,-1.038140588053272,-0.07930981352041572,0.19724116452909032,0.7294271472327776,0.6501860605814438,2.7357309002882446,0.14125472117339677,1.7146559908045713
190.0,0.4478954848994289,1.2589577780692287,0.8057749921869584,-1113.1706204698496,-22.462505435004346,-1232.1274301309847,2757791.3985088323,False,-0.05579672296354418,-0.03188142341469192,-0.06799252672443294,-0.2444441799607805,-0.09361707041040965,-1.0178243619550862,0.011627191272083988,0.12602496359985513,0.6798397318202202,0.7223575679754374,2.983258567667874,0.19919409479989994,1.5260250816657126
201.0,0.4936659472248489,1.2578762577842295,0.12736108922299935,-2065.3409087354785,909.6323086052312,-1225.527273301558,6594981.103760726,False,-0.05863887405091295,-0.032838327037611435,-0.07899463383494831,-0.27231056986586116,-0.08036540546444232,-0.9825587474102692,0.06105518721631844,-0.021247956904915075,0.5334578751208799,0.8433525264756505,-3.0155533614105035,0.029305899244072352,1.126162731461753
211.0,0.37503984969737403,1.1733986068951023,0.2840597350701438,-2081.1879314653684,1193.9009865860878,-1494.9645573438606,7991661.799562657,False,-0.06161263218877221,-0.03374515792591992,-0.0887530083600411,-0.32244105163062764,-0.10100077119680875,-0.9691161549588915,0.10898296498940623,-0.18695567525583356,0.3696681520507886,0.9036126084728501,-2.7873739729416718,-0.2602228942029328,0.8234854335099201
