,timestamp,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,squared norm,zero velocity,px,py,pz,vx,vy,vz,q0,q1,q2,q3,psi,theta,phi,Raap tijd,Gooi tijd,Lucht tijd,Start tot los,Start tot grond,Laatste zijde,Mean acc hand,Max acc hand,Mean acc roll,Max acc roll,Mean acc whole throw,Max acc whole throw,Mean acc hand with gravity,Max acc hand with gravity,Mean acc roll with gravity,Max acc roll with gravity,Mean acc whole throw with gravity,Max acc whole throw with gravity,Delta theta,Total rotation hand,Total rotation flight,Total rotation roll,Total rotation whole throw,Mean ang. vel. hand,Max ang. vel. hand,Mean ang. vel. flight,Max ang. vel. flight,Mean ang. vel. roll,Max ang. vel. roll
419,4093.0,-0.26483203492961926,1.0054339724163117,-0.39194776570929685,1854.262079993656,1166.8326897225663,1491.2670055934411,7023663.669079227,False,3.3398985978504827,20.264158133825692,-29.19241524980392,3.3678390968310428,13.210652295492155,-18.25099875462302,0.708200918957515,-0.06839227783138596,0.45453580191821596,-0.5358835316515429,1.5529291919316286,0.7996410129556747,-0.594360878411049,,,,,,,,,,,,,,,,,,,53.441829351223575,,,,,,,,,,
420,4103.0,-0.25897889804291413,1.0079394913190742,-0.3909240587929955,1839.0121286282715,1154.3410040635922,1518.0246628887044,7018867.640042793,False,3.373782419383724,20.396649617597856,-29.37574274512476,3.4089252027650994,13.287644456283566,-18.414500311830206,0.7264356993133033,0.16102391964591495,0.4360815571287825,-0.5061574336085509,1.4489182357887884,0.4899293089803245,-0.8717257987288044,,,,,,,,,,,,,,,,,,,53.47141356782969,,,,,,,,,,
421,4114.0,0.2503176623387451,0.09172084395710764,-1.2805551079000193,1860.4235841092109,1426.4678511593374,1317.731394703414,7232402.471287904,False,3.4109865731720315,20.543262353407425,-29.57945693585537,3.3554663970399434,13.369216622297314,-18.62444342675777,0.6782291012184699,0.40752281467301693,0.41039671881080764,-0.45332656548088085,1.3112139939861958,0.18831521286884037,-1.2271139295335118,,,,,,,,,,,,,,,,,,,59.28211342570886,,,,,,,,,,
422,4124.0,-0.36242328563406967,0.47447006480013376,-0.3376175257063837,1954.3383250892064,2319.970353477062,646.1192625531243,9619170.831367163,False,3.444686371827736,20.677217306208092,-29.766039990612885,3.384493345509339,13.42177394659555,-18.692167525588182,0.5286069568115707,0.6213213626694193,0.4310849520271961,-0.38561666669989253,1.2334098869394812,-0.023436881945852892,-1.7150848997375918,,,,,,,,,,,,,,,,,,,62.158520161934014,,,,,,,,,,
423,4133.0,0.04320817214983171,0.22829024345369936,0.04386259544198404,1724.4107028931085,2048.9354565420686,652.0807376504962,7596938.065742374,False,3.4752376491284185,20.79799192750583,-29.934655936536018,3.404679382389044,13.417030791477789,-18.778042679815474,0.3846090505712015,0.7622243887274499,0.4204267617818957,-0.3071338428525474,1.0897608989372587,-0.1453208809731327,-2.1187958919903567,,,,,,,,,,,,,,,,,,,49.710218837136026,,,,,,,,,,
424,4143.0,-0.44705865716036036,0.5736583770657137,-0.40939490157264913,1483.5206443539,1690.7778239717281,720.195230805082,5578244.322733168,False,3.509459946017893,20.932144435529136,-30.122557451817176,3.4397799950913517,13.41347081267484,-18.8022603742391,0.23679092601331647,0.866955235684479,0.38015459925096856,-0.21863475786196737,0.8919069532324887,-0.2003973829968488,-2.512287358100489,,,,,,,,,,,,,,,,,,,47.204180609907226,,,,,,,,,,
425,4153.0,-0.41966601626976163,0.5658679340096667,-0.3698578207817462,1533.1513313045311,1737.8138115321349,722.3540363399557,5892345.202049328,False,3.5439788813676776,21.066103204532077,-30.310743914860794,3.4640070735833497,13.378282985590467,-18.835032235134406,0.07391604270672426,0.9357832110424339,0.32358114719608916,-0.1189177940467794,0.6853186101020295,-0.17562836872128268,-2.9211500062027884,,,,,,,,,,,,,,,,,,,48.38688899530246,,,,,,,,,,
426,4164.0,-0.3830653226718163,0.5510447871008456,-0.34460749051307216,1551.1985236417747,1736.6235060048505,736.7378015215361,5964860.649547787,False,3.582149196900115,21.212919675733062,-30.518244719845427,3.4760502975654646,13.315620861975134,-18.89238686165317,-0.109593933803166,0.9636671276962147,0.24355367786898635,-0.004054955951024329,0.48861160487195976,-0.061237533453296106,2.930383943211262,,,,,,,,,,,,,,,,,,,53.40336652155244,,,,,,,,,,
427,4174.0,-0.62681950046154,0.7605834488057348,-0.20032436537835308,1552.4867296650993,1714.5225572589354,753.8690698567564,5918121.2196226455,False,3.6168195275633845,21.345590884886473,-30.707656740382475,3.4580158331672473,13.218620963833112,-18.990017261415336,-0.27130201712297214,0.9443094213755289,0.15798971195991224,0.09856055560539587,0.3614696152238281,0.10058700053370392,2.563663599760887,,,,,,,,,,,,,,,,,,,48.368192266947084,,,,,,,,,,
428,4184.0,-0.961737813507219,1.1432768832321587,0.3605950977906841,1503.9235277925993,1766.7824959082845,655.7216288729046,5813277.219867781,False,3.651175752861803,21.477307455456152,-30.898592926679775,3.41322921722664,13.12469316002957,-19.197220021127407,-0.4175211921475528,0.8825163686651641,0.07163556733089525,0.20422844718334246,0.3166501602116267,0.30537532874429585,2.208664499065274,,,,,,,,,,,,,,,,,,,48.06409660650793,,,,,,,,,,
429,4194.0,-0.3336422872024567,0.3739593486495807,-0.36959234307826433,1441.266799987816,1831.9612440464412,500.4947134707535,5683826.9466474755,False,3.685159695185485,21.608305114627367,-31.091151263374236,3.383559263518308,13.074838650149877,-19.31444731192789,-0.5386422792312007,0.782543193924416,-0.009637297216842361,0.31208615344091334,0.3795581999981297,0.5222412662404781,1.8333293519501357,,,,,,,,,,,,,,,,,,,47.55634907190984,,,,,,,,,,
430,4203.0,-0.8667252891309762,1.228827213465314,-0.1836123145031177,1375.0739345122765,1762.7778066308454,565.8353660783039,5318383.582430295,False,3.7154549024111345,21.72583374606379,-31.265941323050185,3.3487090089912956,13.042634997394199,-19.52778816435764,-0.6266798652235532,0.6683643768002012,-0.08520533916314596,0.3915372990226617,0.5067457409255014,0.6817748484298701,1.4519546485724337,,,,,,,,,,,,,,,,,,,41.57039187911274,,,,,,,,,,
431,4213.0,-0.24483957836176745,0.3805091152206257,-0.2263038004327729,906.577440246544,1471.0719841453335,786.8362919795654,3605046.7880774164,False,3.7488608443963765,21.856209804626356,-31.461938754323622,3.3324794025598954,13.03257666731044,-19.671698088697518,-0.6872148725375019,0.5535418778425153,-0.17960921824986056,0.4348190855488301,0.6210589277747954,0.8157523392691974,1.0805744248805382,,,,,,,,,,,,,,,,,,,38.14227596791505,,,,,,,,,,
432,4224.0,-0.12256506873786963,0.18223249642934247,-0.28277230767641437,841.6697451454278,1424.2970097470754,814.9715934925575,3401208.6300674286,False,3.7853984884578815,21.999525593089302,-31.679091328910943,3.3107286042011657,13.024839433872293,-19.81058820042042,-0.7310424996141022,0.4158861805476642,-0.27908219024610964,0.4633882601824039,0.8209714799859299,0.9164984397415512,0.6115357471673127,,,,,,,,,,,,,,,,,,,40.78203111534599,,,,,,,,,,
433,4234.0,-0.20156655325076636,0.3016811460756551,-0.2664284418562355,895.0189020776344,1446.6405405006744,801.9788623481472,3536997.7841495657,False,3.8184269793634695,22.1298515049656,-31.877878843886386,3.294969576487293,13.040342953891713,-19.9469147969983,-0.7517226065338124,0.27451843337951615,-0.36063410157598175,0.47905719631517046,1.0773135806095075,0.9360357194554793,0.1135599847033729,,,,,,,,,,,,,,,,,,,37.91655202644686,,,,,,,,,,
434,4244.0,-0.19126586899814466,0.2907888301813216,-0.2660783769313595,892.7649709774223,1436.2797319148926,812.5961362124747,3520241.2423012764,False,3.8513197202516944,22.260387972933046,-32.077997348574904,3.2835786041666224,13.066950643854511,-20.076786140146996,-0.7527623393626608,0.1258069846616712,-0.43205908269591015,0.4804647875833993,1.3085948414540465,0.8809868309666162,-0.3626691691871238,,,,,,,,,,,,,,,,,,,37.8545391735757,,,,,,,,,,
435,4254.0,0.07362101041268523,0.28479074881103916,-0.5802148784322154,892.2223108246976,1428.3282628412762,819.2913880146828,3507420.6568395663,False,3.884027795898383,22.391162464775384,-32.27952862003769,3.2580365262379107,13.087947734408958,-20.229468144534202,-0.733437186539468,-0.02520122117188855,-0.4913571515685666,0.46904471157336386,1.4630073503009162,0.7713701282982316,-0.7676818734748192,,,,,,,,,,,,,,,,,,,37.57750108921871,,,,,,,,,,
